# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20241207-20241208
# ----------------------------------------

Clicked Batchcode,Country,Region,Town/City,Event count
088D21A,United States,Washington,Seattle,1
090F21A,Norway,Vestland,Bergen Municipality,1
092D21A,Canada,New Brunswick,Moncton,1
1111-20-EW0177,Colombia,Cundinamarca,Fusagasuga,1
1111-FG3527,Canada,British Columbia,Shawnigan Lake,1
1111-FG3527,Switzerland,Zurich,Zurich,1
1234,Germany,Lower Saxony,Lilienthal,1
12345,Germany,Lower Saxony,Lilienthal,1
1805020,United States,Virginia,Ashburn,1
1820096,United States,Michigan,Holland,1
1820096,United States,Michigan,Southfield,1
1: EW4815,United States,Ohio,Paxton Township,1
1C007A,Germany,Saxony-Anhalt,Bernburg,1
1C008A,Indonesia,South Sumatra,Sosoh Buay Rayap,1
1C009A,Germany,North Rhine-Westphalia,Borken,1
1C010A,Germany,Lower Saxony,Rotenburg,1
1C011A,Italy,Lombardy,Milan,1
1D015A,Germany,North Rhine-Westphalia,Essen,1
1D018A,Germany,Hessen,Bad Soden,1
1D020A,Germany,North Rhine-Westphalia,Iserlohn,1
1DO17A,Germany,North Rhine-Westphalia,Lemgo,1
1E021A,Germany,Berlin,Berlin,1
1E024A,Germany,Hessen,Frankfurt,1
1F012A,Italy,Calabria,Reggio Calabria,1
1F036A,Germany,North Rhine-Westphalia,Dusseldorf,1
1F036A,Germany,North Rhine-Westphalia,Essen,1
1F1006A,France,Ile-de-France,Paris,1
1F1007A,Germany,Lower Saxony,Rotenburg,1
1F1010A,Germany,Lower Saxony,Northeim,1
1F1010A,Germany,North Rhine-Westphalia,Essen,1
1F1014A,Germany,Lower Saxony,Rotenburg,1
1F1020A,Czechia,Pardubice Region,Policka,1
1F1022A,Germany,North Rhine-Westphalia,Iserlohn,1
1F1023A,Germany,Thuringia,Leinefelde-Worbis,1
1F1024A,Germany,Hessen,Frankfurt,1
1F1024A,Germany,Lower Saxony,Rotenburg,1
1F1027A,Germany,Schleswig-Holstein,Altenholz,1
1F1049A,Germany,Lower Saxony,Rotenburg,1
1G040A,Germany,Berlin,Berlin,1
1H049A,Germany,Bavaria,Nuremberg,1
1H049A,Germany,Hessen,Frankfurt,1
1H049A,Germany,North Rhine-Westphalia,Borken,1
1H049A,Germany,Rhineland-Palatinate,Simmern,1
1H054A_1101126-,Netherlands,South Holland,Delft,1
1H058A_1101209-,United States,California,Los Altos,1
202A21A,United States,Virginia,Ashburn,1
203A21A,United States,New York,Saugerties,1
203A21A,United States,Ohio,Lancaster,1
211D21A,United States,Utah,American Fork,1
211D21A,United States,Virginia,Ashburn,1
214010,France,Occitanie,Carcassonne,1
216001,Spain,Valencian Community,Alicante,1
216046,Italy,Lombardy,Milan,1
300042723,Switzerland,Lucerne,Lucerne,1
300042723,Switzerland,Valais,Zermatt,1
3001176,Canada,Nova Scotia,Berwick,1
3001530,Canada,Nova Scotia,Berwick,1
3001531,Belgium,Flanders,Vorselaar,1
3001532,Belgium,Flanders,Vorselaar,1
3001651,Germany,Bavaria,Munich,1
3001651,Germany,Schleswig-Holstein,Altenholz,1
300165100,Germany,Schleswig-Holstein,Altenholz,1
3001942,Slovenia,Ljubljana,Ljubljana,1
3001944,Germany,Bavaria,Munich,1
3002186,Switzerland,Zurich,Zurich,1
3002187,United States,Washington,Seattle,1
3002542,Germany,North Rhine-Westphalia,Eslohe,1
30025TB,Germany,Saxony,Zwenkau,1
3002621,United Kingdom,England,Bristol,1
3002917,Italy,Piedmont,Turin,1
3003185,Switzerland,Zurich,Zurich,1
3003603,Germany,Bavaria,Munich,1
3003651,United Kingdom,England,Bristol,1
3003651,United Kingdom,England,Stoke-on-Trent,1
3004215,Switzerland,Zurich,Wadenswil,1
3004217,Germany,Rhineland-Palatinate,Ludwigshafen,1
3004217,Germany,Schleswig-Holstein,Kiel,1
3004669,Italy,Piedmont,Turin,1
3004671,Germany,Rhineland-Palatinate,Ludwigshafen,1
3004671,Germany,Schleswig-Holstein,Kiel,1
3004674,Germany,Bavaria,Munich,1
3004953,Germany,North Rhine-Westphalia,Cologne,1
3005889,Greece,Decentralized Administration of Macedonia and Thrace,Panorama,1
301558A,United States,Virginia,Ashburn,1
3043409,Germany,Baden-Wurttemberg,Stuhlingen,1
3043836,United States,District of Columbia,Washington,1
30891TB,Germany,Baden-Wurttemberg,Stuttgart,1
30966TB,Germany,Lower Saxony,Rotenburg,1
320308D,United States,Texas,Dallas,1
32030BD,United States,Texas,Dallas,1
32030BD,United States,Virginia,Ashburn,1
330308D,United States,Kansas,Lindsborg,1
33030BD,United States,Florida,Miami,1
33233TB,Germany,North Rhine-Westphalia,Huckelhoven,1
33233TB,Germany,North Rhine-Westphalia,Munster,1
34523TB,Germany,Lower Saxony,Rotenburg,1
34524TB,Germany,Lower Saxony,Rotenburg,1
4120Z001,United Kingdom,England,Aston Clinton,1
5.8e+215,United States,California,Los Altos,1
5.8e+219,United States,California,Los Altos,1
8062765,Austria,Vienna,Vienna,1
8081564,United States,Michigan,Owosso,1
8363700003,United States,New York,New York,1
AB0003,United Kingdom,England,Huddersfield,1
AB0006,Germany,Baden-Wurttemberg,Rottenburg,1
AB0009,Germany,Baden-Wurttemberg,Rottenburg,1
ABV3374,Germany,Baden-Wurttemberg,Stuttgart,1
ABV3374,Germany,Lower Saxony,Rotenburg,1
ABV3374,Germany,North Rhine-Westphalia,Borken,1
ABV3374,Indonesia,South Sumatra,Sosoh Buay Rayap,1
ABV5443,Austria,Vienna,Vienna,1
ABV5443,Germany,Berlin,Berlin,1
ABV5443,Germany,Lower Saxony,Rotenburg,1
ABV5443,Germany,Schleswig-Holstein,Altenholz,1
ABV5652,Germany,Lower Saxony,Rotenburg,1
ABV6514,Netherlands,Utrecht,Utrecht,1
ABV9317,Germany,Hessen,Frankfurt,1
ABW9941,Netherlands,Utrecht,Utrecht,1
ABZ5320,Germany,Hamburg,Hamburg,1
ACB3738,Germany,Bavaria,(not set),1
ACB4447,Germany,North Rhine-Westphalia,Bottrop,1
ACB4692,Germany,Schleswig-Holstein,Geesthacht,1
ACB8967,Germany,Bavaria,Munich,1
ACB8967,Germany,North Rhine-Westphalia,Gutersloh,1
ACB8967,Germany,North Rhine-Westphalia,Iserlohn,1
ACB8967,Germany,North Rhine-Westphalia,Siegen,1
ACB9148,Germany,Schleswig-Holstein,Eutin,1
ACB9471,Germany,Lower Saxony,Rotenburg,1
ACB9929,Germany,Saxony,Zwenkau,1
ACB9929,Italy,Veneto,San Bonifacio,1
ACC6099,Germany,Saxony,Zwenkau,1
B1D012A,Germany,Hessen,Frankfurt,1
BER7812,Germany,Schleswig-Holstein,Eckernforde,1
BER7812,Norway,(not set),(not set),1
BNT03,Norway,Akershus,Frogn Municipality,1
BNT03,Norway,Trondelag,Trondheim Municipality,1
BNT162B2,Canada,Alberta,Edmonton,1
BNT162B2,Canada,British Columbia,Creston,1
BNT162B2,Germany,Baden-Wurttemberg,Freiburg im Breisgau,1
C202105092,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
C202105093,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
CH.-B. FD9234,Germany,Baden-Wurttemberg,Bietigheim-Bissingen,1
CH.-B. FD9234,Germany,Baden-Wurttemberg,Stuttgart,1
CH.-B. FD9234,Germany,Hessen,Frankfurt,1
CH.-B. FD9234,Germany,North Rhine-Westphalia,Munster,1
CH.-B.: 1F1023A,Germany,Baden-Wurttemberg,Ellwangen,1
CH.-B.: EX3510,Germany,Lower Saxony,Rotenburg,1
CH.-B.: EX3510,Germany,North Rhine-Westphalia,Bocholt,1
CH.-B.: EX8680,Germany,Baden-Wurttemberg,Stuttgart,1
CH.-B.: EX8680,Germany,Bavaria,Regenstauf,1
CH.-B.: FD7958,Germany,Bavaria,Munich,1
CH.-B.: FD7958,Germany,Bavaria,Regenstauf,1
CH.-B.:ACB5318,Germany,Bavaria,Augsburg,1
CH.-B.:FC3095,Germany,Hessen,Frankfurt,1
CH.-B.:FD7958,Canada,Ontario,Mississauga,1
CH.-B.:FE6975,Germany,Bavaria,Penzberg,1
CH.-B.:FE6975,Germany,North Rhine-Westphalia,Rheine,1
CH.: FD6840,Canada,Ontario,Mississauga,1
CH.B EX3510,Germany,Lower Saxony,Rotenburg,1
CH.B EX3510,Germany,North Rhine-Westphalia,Bocholt,1
CH.B.1C006A,Germany,Baden-Wurttemberg,Bietigheim-Bissingen,1
CH.B.:EX3599,Germany,Baden-Wurttemberg,Freiburg im Breisgau,1
CH.B.:EX3599,Germany,Hessen,Frankfurt,1
COMIRNATY 1D018,Brazil,State of Santa Catarina,89257,1
E44243,Germany,Saxony,Leipzig,1
EE8493,United States,Texas,San Antonio,1
EH9899,United States,Texas,Fort Worth,1
EJ6134,Belgium,Flanders,Zoersel,1
EJ6769,Germany,Baden-Wurttemberg,Kirchheim unter Teck,1
EJ6788,Germany,Baden-Wurttemberg,Bietigheim-Bissingen,1
EJ6788,Germany,Baden-Wurttemberg,Kirchheim unter Teck,1
EJ6788,Germany,Bavaria,Dachau,1
EJ6788,Germany,North Rhine-Westphalia,Iserlohn,1
EJ6788,Germany,North Rhine-Westphalia,Rheine,1
EJ6788,Germany,North Rhine-Westphalia,Wuppertal,1
EJ6788,Netherlands,Utrecht,Houten,1
EJ6789,Germany,Bavaria,Nuremberg,1
EJ6789,Germany,Hamburg,Hamburg,1
EJ6789,Germany,Hessen,Frankfurt,1
EJ6789,Germany,North Rhine-Westphalia,(not set),1
EJ6795,Germany,Hessen,Frankfurt,1
EK4175,Germany,Bavaria,Munich,1
EK4176,Germany,Bavaria,Munich,1
EK9231,Germany,Bavaria,Munich,1
EK9231,Germany,North Rhine-Westphalia,Lindlar,1
EK9321,Germany,Hessen,Frankfurt,1
EK9788,Germany,Hamburg,Hamburg,1
EK9788,Germany,North Rhine-Westphalia,Siegen,1
EL1491,Austria,Vienna,Vienna,1
EL3247,United States,Louisiana,New Orleans,1
EL8723,Germany,Bavaria,Augsburg,1
EL8982,United States,Alabama,Dothan,1
EL9266,United States,New York,New York,1
ELO142,United States,Louisiana,New Orleans,1
EM0477,Germany,Baden-Wurttemberg,Freiburg im Breisgau,1
EM0477,Germany,Baden-Wurttemberg,Kirchheim unter Teck,1
EM0477,Germany,Bavaria,Dachau,1
EM0477,Germany,Bavaria,Munich,1
EM0477,Germany,Bavaria,Rosenheim,1
EM0477,Germany,Hessen,Frankenberg (Eder),1
EM0477,Germany,North Rhine-Westphalia,Iserlohn,1
EM0477,Germany,North Rhine-Westphalia,Rheine,1
EM0477,Indonesia,South Sumatra,Sosoh Buay Rayap,1
EM0477,United States,Texas,Dallas,1
EM9810,United States,Texas,Dallas,1
EN-6207,United States,New York,Yorktown Heights,1
EN1185,United States,Florida,Miami,1
EN6024,United States,Florida,Miami,1
EN6199,United States,South Carolina,North Augusta,1
EN6200,Canada,Ontario,Brighton,1
EN6200,Germany,Bavaria,Oettingen in Bayern,1
EN6201,Germany,Berlin,Berlin,1
EN6204,New Zealand,Wellington,Wellington,1
EN6204,United States,Georgia,Atlanta,1
EN6205,United States,Ohio,Coshocton,1
ENG201,United States,Illinois,Chicago,1
ENU199,United States,Georgia,Atlanta,1
EP2163,Germany,Bavaria,Augsburg,1
EP2163,Germany,Hamburg,Hamburg,1
EP2163,Germany,Thuringia,Saalfeld,1
EP6955,United States,California,Los Angeles,1
EP7534,United States,Florida,Jacksonville,1
EP7534,United States,New Jersey,Bordentown,1
EP9598,Germany,North Rhine-Westphalia,Siegen,1
EP9605,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
ER1749,United Kingdom,England,Stoke-on-Trent,1
ER2613,United States,Virginia,Virginia Beach,1
ER2659,Germany,Bavaria,Nuremberg,1
ER2659,Germany,North Rhine-Westphalia,(not set),1
ER2659,Poland,Lesser Poland Voivodeship,Krakow,1
ER7812,Austria,Lower Austria,(not set),1
ER7812,France,Ile-de-France,Paris,1
ER7812,Germany,Bavaria,Kaufering,1
ER7812,Italy,Veneto,San Bonifacio,1
ER7812,Netherlands,Utrecht,Houten,1
ER8727 PFIZER,United States,Florida,Orlando,1
ER8729,United States,New Jersey,Bordentown,1
ER8730,United States,New York,Yorktown Heights,1
ER87333,United States,Florida,Miami,1
ER8735,United States,Illinois,Chicago,1
ER8736,United States,Massachusetts,Boston,1
ER9446,Germany,North Rhine-Westphalia,Remscheid,1
ER9449,Germany,North Rhine-Westphalia,Remscheid,1
ER9470,Germany,Lower Saxony,Rotenburg,1
ER9480,Germany,Baden-Wurttemberg,Stuttgart,1
ER9480,Germany,North Rhine-Westphalia,Essen,1
ER9480,Germany,North Rhine-Westphalia,Munster,1
ER9480,Germany,North Rhine-Westphalia,Remscheid,1
ER9480,Indonesia,South Sumatra,Sosoh Buay Rayap,1
ET 1831,Austria,Vienna,Vienna,1
ET3045,Germany,Baden-Wurttemberg,Buhl,1
ET3045,Germany,Hessen,Frankfurt,1
ET3045,Germany,Rhineland-Palatinate,Alzey,1
ET7205,United States,Ohio,Paxton Township,1
ET9096,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
EW 0177,Colombia,Cundinamarca,Fusagasuga,1
EW 0180,Colombia,Cundinamarca,Fusagasuga,1
EW 5279,Sweden,Skane County,Helsingborg,1
EW 5279,Sweden,Skane County,Kristianstad,1
EW0151,United States,Illinois,Chicago,1
EW0158,United States,Michigan,Detroit,1
EW0158,United States,Virginia,Virginia Beach,1
EW0162,United States,California,Riverside,1
EW0162,United States,New Jersey,Denville,1
EW0168,United States,Florida,Miami,1
EW0169,United States,Georgia,Atlanta,1
EW0169,United States,Virginia,Ashburn,1
EW0170,United States,California,Fillmore,1
EW0175,United States,California,Los Angeles,1
EW0176,United States,New York,Roosevelt,1
EW0177,United States,California,Fillmore,1
EW0178,United States,New York,Roosevelt,1
EW0182,United States,California,Los Angeles,1
EW0182,United States,North Carolina,Waxhaw,1
EW0185,United States,New York,New York,1
EW0199,Canada,New Brunswick,Moncton,1
EW0206,Canada,Ontario,Mississauga,1
EW0212,Canada,Ontario,Mississauga,1
EW0217,United States,New York,New York,1
EW0221,Canada,Ontario,Mississauga,1
EW0221,Canada,Ontario,Windsor,1
EW0271,Canada,Ontario,Mississauga,1
EW2239,Austria,Vienna,Vienna,1
EW2243,Poland,Lesser Poland Voivodeship,Krakow,1
EW3143,Netherlands,South Holland,Naaldwijk,1
EW6126,Ireland,County Dublin,Dublin,1
EW8904,Germany,Hamburg,Hamburg,1
EWO150,United States,Wisconsin,Milwaukee,1
EWO170,United States,Wisconsin,Milwaukee,1
EX 3510,Germany,North Rhine-Westphalia,Bocholt,1
EX 3599,Germany,Baden-Wurttemberg,Freiburg im Breisgau,1
EX0893,Austria,Vienna,Vienna,1
EX0893,Germany,Lower Saxony,Rotenburg,1
EX3510,Austria,Lower Austria,(not set),1
EX3510,Germany,Bavaria,Naila,1
EX3510,Germany,Brandenburg,Luckenwalde,1
EX3510,Germany,Hessen,Frankfurt,1
EX3510,Germany,North Rhine-Westphalia,(not set),1
EX3510,Germany,Schleswig-Holstein,Eckernforde,1
EX3510,Indonesia,South Sumatra,Sosoh Buay Rayap,1
EX3599,Germany,Baden-Wurttemberg,(not set),1
EX3599,Germany,North Rhine-Westphalia,Huckelhoven,1
EX6537,Sweden,Stockholm County,Stockholm,1
EX8670,Germany,North Rhine-Westphalia,Hamm,1
EX8679,Germany,Baden-Wurttemberg,(not set),1
EX8679,Germany,Lower Saxony,Walsrode,1
EX8679,Germany,North Rhine-Westphalia,Hamm,1
EX8679,Germany,North Rhine-Westphalia,Minden,1
EX8679,Germany,Rhineland-Palatinate,(not set),1
EX8679,Germany,Rhineland-Palatinate,Alzey,1
EX8679,Germany,Saarland,Losheim am See,1
EX8679,Germany,Schleswig-Holstein,Altenholz,1
EX8679,Indonesia,South Sumatra,Sosoh Buay Rayap,1
EX8679,Italy,Lombardy,Milan,1
EX8680,Germany,Rhineland-Palatinate,Bad Kreuznach,1
EX8680,Germany,Saxony,Grimma,1
EX8689,Germany,Hessen,Frankfurt,1
EY0572,Japan,Tochigi,Nasukarasuyama,1
EY2172,Germany,Baden-Wurttemberg,Ellwangen,1
EY2172,Germany,Brandenburg,Strausberg,1
EY2172,Germany,Hessen,Frankfurt,1
EY3014,Austria,Vienna,Vienna,1
EY3014,Czechia,Pardubice Region,Policka,1
EY5456,United Kingdom,England,(not set),1
FA 5833,Sweden,Gavleborg County,Ockelbo,1
FA1027,Netherlands,South Holland,Naaldwijk,1
FA5829,Hungary,Gyor-Moson-Sopron,Sopron,1
FA5833,Australia,Western Australia,(not set),1
FA5833,Germany,Schleswig-Holstein,Altenholz,1
FA7484,United States,Oklahoma,Oklahoma City,1
FA7484,United States,Texas,Odessa,1
FA9091,Canada,Ontario,Windsor,1
FA9099,Canada,Ontario,Belleville,1
FA9099,Canada,Ontario,Carleton Place,1
FA9099,Canada,Ontario,Haliburton,1
FA9099,Canada,Ontario,Mississauga,1
FA9099,Canada,Quebec,Victoriaville,1
FC1440,Germany,Schleswig-Holstein,Altenholz,1
FC1526,Germany,Lower Saxony,Rotenburg,1
FC3095,Germany,Baden-Wurttemberg,Ellwangen,1
FC3095,Germany,North Rhine-Westphalia,Huckelhoven,1
FC3098,Netherlands,South Holland,Rotterdam,1
FC3151,United States,California,Los Angeles,1
FC3181,United States,Texas,Odessa,1
FC3184,United States,Florida,Miami,1
FC8289,United Kingdom,England,London,1
FC8889,Belgium,Flanders,Vorselaar,1
FC8889,Ireland,County Dublin,Dublin,1
FC9001,United Kingdom,England,Manchester,1
FD0168,Austria,Vienna,Vienna,1
FD0810,Canada,Ontario,Haliburton,1
FD0810,Canada,Quebec,Saint-Jerome,1
FD0810,United States,Minnesota,Golden Valley,1
FD0810,United States,Washington,Tumwater,1
FD0927,Australia,Victoria,Melbourne,1
FD1921,Germany,Lower Saxony,Rotenburg,1
FD1921F,Hungary,Budapest,Budapest,1
FD5996,Germany,Berlin,Berlin,1
FD6840,Germany,Lower Saxony,Rotenburg,1
FD7128,Canada,Ontario,Mississauga,1
FD7204,Canada,Ontario,Mississauga,1
FD7206,Canada,British Columbia,West Vancouver,1
FD7208,Brazil,State of Sao Paulo,Sao Paulo,1
FD7218,Canada,Ontario,Mississauga,1
FD7222,Canada,Ontario,Mississauga,1
FD7858,Canada,Ontario,Mississauga,1
FD7958,Germany,Baden-Wurttemberg,Stuttgart,1
FD7958,Germany,Berlin,Berlin,1
FD8813,United Kingdom,England,Great Sankey,1
FD9234,Germany,Baden-Wurttemberg,Stuttgart,1
FD9234,Germany,Berlin,Berlin,1
FDO168,Austria,Upper Austria,(not set),1
FDO932,Poland,Masovian Voivodeship,Warsaw,1
FE 6975,Germany,Bavaria,Oettingen in Bayern,1
FE1248,Czechia,Pardubice Region,Policka,1
FE1510,United Kingdom,England,(not set),1
FE1573,Netherlands,South Holland,The Hague,1
FE2090,Australia,Victoria,Melbourne,1
FE2625,Germany,Lower Saxony,Rotenburg,1
FE6975,Germany,Baden-Wurttemberg,Geislingen,1
FE6975,Germany,Hessen,Frankfurt,1
FE7011,Germany,Lower Saxony,Spelle,1
FE7051,Austria,Vienna,Vienna,1
FE7053,Norway,Akershus,Frogn Municipality,1
FE8163,Australia,New South Wales,Sydney,1
FE8163,Australia,Western Australia,Perth,1
FE8244,Austria,Upper Austria,(not set),1
FE8405,Germany,Mecklenburg-Vorpommern,(not set),1
FEI510,Poland,Masovian Voivodeship,Warsaw,1
FF0688,Netherlands,Friesland,Leeuwarden,1
FF0843,Japan,Tochigi,Nasukarasuyama,1
FF0884,Australia,New South Wales,Sydney,1
FF0900,Germany,(not set),(not set),1
FF0900,Germany,Bavaria,Augsburg,1
FF2587,United States,Pennsylvania,Aliquippa,1
FF2595,United States,Washington,Seattle,1
FF2752,Netherlands,South Holland,The Hague,1
FF2834,Austria,Vienna,Vienna,1
FF3318,France,Brittany,Rennes,1
FF3318,Germany,North Rhine-Westphalia,Burbach,1
FF4222,Australia,Western Australia,(not set),1
FF4222,Australia,Western Australia,Perth,1
FF5109,United States,Florida,(not set),1
FF7481,Germany,Lower Saxony,Rotenburg,1
FF7481,Italy,Friuli-Venezia Giulia,Trieste,1
FF8839,United States,South Dakota,Belle Fourche,1
FG3712,Australia,New South Wales,Sydney,1
FG4493,France,Bourgogne-Franche-Comte,Macon,1
FG4493,France,Nouvelle-Aquitaine,Bordeaux,1
FG4493,France,Occitanie,Carcassonne,1
FG4493,Hungary,Csongrad,6774,1
FG4509,Croatia,City of Zagreb,Zagreb,1
FG7387,France,Nouvelle-Aquitaine,Bordeaux,1
FH0160,Australia,New South Wales,Sydney,1
FH0160,Australia,Queensland,Brisbane,1
FH4092,Norway,Akershus,Frogn Municipality,1
FH8021,Portugal,Lisbon,Lisbon,1
FH9678,Poland,Masovian Voivodeship,Warsaw,1
FJ 1620,United States,Texas,Dallas,1
FJ1620,United States,New Jersey,Bordentown,1
FJ1620-PFIZER-2,United States,Texas,(not set),1
FJ3438,Norway,Akershus,Frogn Municipality,1
FJ4991,United States,New York,New York,1
FJ5683,Australia,Queensland,Brisbane,1
FJ5973,Australia,Queensland,Brisbane,1
FJ7489,Japan,Shiga,Otsu,1
FJ8372,Australia,Queensland,Brisbane,1
FJ8757,Australia,Queensland,Brisbane,1
FJ8762-PFIZER-2,United States,California,Burlingame,1
FJ9943,United States,Georgia,(not set),1
FK9845,United States,Texas,Henderson,1
FK9893,United States,Texas,(not set),1
FK9893,United States,Texas,Henderson,1
FK9894,United States,New Jersey,Bordentown,1
FK9894,United States,Texas,Henderson,1
FK9895,United States,Mississippi,Natchez,1
FK9895,United States,Texas,Dallas,1
FK9895,United States,Washington,Spokane Valley,1
FK9896,United States,Texas,Henderson,1
FK989S,United States,Texas,Henderson,1
FL0007,Germany,Baden-Wurttemberg,Rottenburg,1
FL3197,United States,Massachusetts,Boston,1
FL3198-PFIZER-2,United States,New York,New York,1
FL3209,United States,New Jersey,Bordentown,1
FL3560,Malaysia,Selangor,Batu Caves,1
FL8094,New Zealand,Wellington,Wellington,1
FM0698,United States,Texas,(not set),1
FM0698-PFIZER-2,United States,Texas,(not set),1
FM2952,Canada,Nova Scotia,Berwick,1
FM2958,Brazil,State of Sao Paulo,Sao Paulo,1
FM3092,Lithuania,Vilnius County,Vilnius,1
FM3092,Spain,Galicia,Vigo,1
FM7533,Czechia,Pardubice Region,Policka,1
FM7785,Lithuania,Vilnius County,Vilnius,1
FN0987,Switzerland,Zurich,Zurich,1
FN3543,United Kingdom,England,London,1
FN4072,Germany,Hamburg,Hamburg,1
FN4072,Germany,North Rhine-Westphalia,(not set),1
FN6611,France,Nouvelle-Aquitaine,Bordeaux,1
FN7934,Canada,Ontario,Toronto,1
FP1972,Germany,Baden-Wurttemberg,Reilingen,1
FP1972,Germany,Berlin,Berlin,1
FP1980,Germany,Lower Saxony,Rotenburg,1
FP7150,Colombia,Cundinamarca,Fusagasuga,1
FP7498,Brazil,State of Sao Paulo,Sao Paulo,1
FP8233,Poland,Lublin Voivodeship,Lukow,1
FP8290,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
FP9359,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
FP9647,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,1
FR5493,Austria,Vienna,Vienna,1
FR5497,Austria,Vienna,Vienna,1
FT1620,United States,Texas,Dallas,1
GJ3275,Canada,Quebec,Montreal,1
